timestamp,source_ip,destination_ip,protocol,bytes,action,region,user,resource,status
2024-01-01T00:01:00,203.0.113.2,10.0.0.2,SSH,540,WRITE,us-west-2,user2,/app/service/2,OK
2024-01-01T00:02:00,203.0.113.3,10.0.0.3,DNS,580,LIST,eu-west-1,user3,/app/service/3,OK
2024-01-01T00:03:00,203.0.113.4,10.0.0.4,HTTPS,620,READ,us-east-1,user4,/app/service/4,OK
2024-01-01T00:04:00,203.0.113.5,10.0.0.5,SSH,660,WRITE,us-west-2,user5,/app/service/5,OK
2024-01-01T00:05:00,203.0.113.6,10.0.0.6,DNS,700,LIST,eu-west-1,user6,/app/service/1,OK
2024-01-01T00:06:00,203.0.113.7,10.0.0.7,HTTPS,740,READ,us-east-1,user7,/app/service/2,OK
2024-01-01T00:07:00,203.0.113.8,10.0.0.8,SSH,780,WRITE,us-west-2,user8,/app/service/3,OK
2024-01-01T00:08:00,203.0.113.9,10.0.0.9,DNS,820,LIST,eu-west-1,user9,/app/service/4,OK
2024-01-01T00:09:00,203.0.113.10,10.0.0.10,HTTPS,860,READ,us-east-1,user10,/app/service/5,OK
2024-01-01T00:10:00,203.0.113.11,10.0.0.11,SSH,900,WRITE,us-west-2,user1,/app/service/1,OK
2024-01-01T00:11:00,203.0.113.12,10.0.0.12,DNS,940,LIST,eu-west-1,user2,/app/service/2,OK
2024-01-01T00:12:00,203.0.113.13,10.0.0.13,HTTPS,980,READ,us-east-1,user3,/app/service/3,OK
2024-01-01T00:13:00,203.0.113.14,10.0.0.14,SSH,1020,WRITE,us-west-2,user4,/app/service/4,OK
2024-01-01T00:14:00,203.0.113.15,10.0.0.15,DNS,1060,LIST,eu-west-1,user5,/app/service/5,OK
2024-01-01T00:15:00,203.0.113.16,10.0.0.16,HTTPS,1100,READ,us-east-1,user6,/app/service/1,OK
2024-01-01T00:16:00,203.0.113.17,10.0.0.17,SSH,1140,WRITE,us-west-2,user7,/app/service/2,OK
2024-01-01T00:17:00,203.0.113.18,10.0.0.18,DNS,1180,LIST,eu-west-1,user8,/app/service/3,OK
2024-01-01T00:18:00,203.0.113.19,10.0.0.19,HTTPS,1220,READ,us-east-1,user9,/app/service/4,OK
2024-01-01T00:19:00,203.0.113.20,10.0.0.20,SSH,1260,WRITE,us-west-2,user10,/app/service/5,OK
2024-01-01T00:20:00,203.0.113.21,10.0.0.1,DNS,1300,LIST,eu-west-1,user1,/app/service/1,OK
2024-01-01T00:21:00,203.0.113.22,10.0.0.2,HTTPS,1340,READ,us-east-1,user2,/app/service/2,OK
2024-01-01T00:22:00,203.0.113.23,10.0.0.3,SSH,1380,WRITE,us-west-2,user3,/app/service/3,OK
2024-01-01T00:23:00,203.0.113.24,10.0.0.4,DNS,1420,LIST,eu-west-1,user4,/app/service/4,OK
2024-01-01T00:24:00,203.0.113.25,10.0.0.5,HTTPS,1460,READ,us-east-1,user5,/app/service/5,OK
2024-01-01T00:25:00,203.0.113.26,10.0.0.6,SSH,500,WRITE,us-west-2,user6,/app/service/1,OK
2024-01-01T00:26:00,203.0.113.27,10.0.0.7,DNS,540,LIST,eu-west-1,user7,/app/service/2,OK
2024-01-01T00:27:00,203.0.113.28,10.0.0.8,HTTPS,580,READ,us-east-1,user8,/app/service/3,OK
2024-01-01T00:28:00,203.0.113.29,10.0.0.9,SSH,620,WRITE,us-west-2,user9,/app/service/4,OK
2024-01-01T00:29:00,203.0.113.30,10.0.0.10,DNS,660,LIST,eu-west-1,user10,/app/service/5,OK
2024-01-01T00:30:00,203.0.113.31,10.0.0.11,HTTPS,700,READ,us-east-1,user1,/app/service/1,OK
2024-01-01T00:31:00,203.0.113.32,10.0.0.12,SSH,740,WRITE,us-west-2,user2,/app/service/2,OK
2024-01-01T00:32:00,203.0.113.33,10.0.0.13,DNS,780,LIST,eu-west-1,user3,/app/service/3,OK
2024-01-01T00:33:00,203.0.113.34,10.0.0.14,HTTPS,820,READ,us-east-1,user4,/app/service/4,OK
2024-01-01T00:34:00,203.0.113.35,10.0.0.15,SSH,860,WRITE,us-west-2,user5,/app/service/5,OK
2024-01-01T00:35:00,203.0.113.36,10.0.0.16,DNS,900,LIST,eu-west-1,user6,/app/service/1,OK
2024-01-01T00:36:00,203.0.113.37,10.0.0.17,HTTPS,940,READ,us-east-1,user7,/app/service/2,OK
2024-01-01T00:37:00,203.0.113.38,10.0.0.18,SSH,9000,DELETE,us-west-2,admin-root,/app/sensitive/keys,DENIED
2024-01-01T00:38:00,203.0.113.39,10.0.0.19,DNS,1020,LIST,eu-west-1,user9,/app/service/4,OK
2024-01-01T00:39:00,203.0.113.40,10.0.0.20,HTTPS,1060,READ,us-east-1,user10,/app/service/5,OK
2024-01-01T00:40:00,203.0.113.41,10.0.0.1,SSH,1100,WRITE,us-west-2,user1,/app/service/1,OK
2024-01-01T00:41:00,203.0.113.42,10.0.0.2,DNS,1140,LIST,eu-west-1,user2,/app/service/2,OK
2024-01-01T00:42:00,203.0.113.43,10.0.0.3,HTTPS,1180,READ,us-east-1,user3,/app/service/3,OK
2024-01-01T00:43:00,203.0.113.44,10.0.0.4,SSH,1220,WRITE,us-west-2,user4,/app/service/4,OK
2024-01-01T00:44:00,203.0.113.45,10.0.0.5,DNS,1260,LIST,eu-west-1,user5,/app/service/5,OK
2024-01-01T00:45:00,203.0.113.46,10.0.0.6,HTTPS,1300,READ,us-east-1,user6,/app/service/1,OK
2024-01-01T00:46:00,203.0.113.47,10.0.0.7,SSH,1340,WRITE,us-west-2,user7,/app/service/2,OK
2024-01-01T00:47:00,203.0.113.48,10.0.0.8,DNS,1380,LIST,eu-west-1,user8,/app/service/3,OK
2024-01-01T00:48:00,203.0.113.49,10.0.0.9,HTTPS,1420,READ,us-east-1,user9,/app/service/4,OK
2024-01-01T00:49:00,203.0.113.50,10.0.0.10,SSH,1460,WRITE,us-west-2,user10,/app/service/5,OK
2024-01-01T00:50:00,203.0.113.1,10.0.0.11,DNS,500,LIST,eu-west-1,user1,/app/service/1,OK
2024-01-01T00:51:00,203.0.113.2,10.0.0.12,HTTPS,540,READ,us-east-1,user2,/app/service/2,OK
2024-01-01T00:52:00,203.0.113.3,10.0.0.13,SSH,580,WRITE,us-west-2,user3,/app/service/3,OK
2024-01-01T00:53:00,198.51.100.99,10.0.0.14,DNS,620,ROOT_LOGIN,eu-west-1,user4,/app/sensitive/admin,DENIED
2024-01-01T00:54:00,203.0.113.5,10.0.0.15,HTTPS,660,READ,us-east-1,user5,/app/service/5,OK
2024-01-01T00:55:00,203.0.113.6,10.0.0.16,SSH,700,WRITE,us-west-2,user6,/app/service/1,OK
2024-01-01T00:56:00,203.0.113.7,10.0.0.17,DNS,740,LIST,eu-west-1,user7,/app/service/2,OK
2024-01-01T00:57:00,203.0.113.8,10.0.0.18,HTTPS,780,READ,us-east-1,user8,/app/service/3,OK
2024-01-01T00:58:00,203.0.113.9,10.0.0.19,SSH,820,WRITE,us-west-2,user9,/app/service/4,OK
2024-01-01T00:59:00,203.0.113.10,10.0.0.20,DNS,860,LIST,eu-west-1,user10,/app/service/5,OK
2024-01-01T01:00:00,203.0.113.11,10.0.0.1,HTTPS,900,READ,us-east-1,user1,/app/service/1,OK
2024-01-01T01:01:00,203.0.113.12,10.0.0.2,SSH,940,WRITE,us-west-2,user2,/app/service/2,OK
2024-01-01T01:02:00,203.0.113.13,10.0.0.3,DNS,980,LIST,eu-west-1,user3,/app/service/3,OK
2024-01-01T01:03:00,203.0.113.14,10.0.0.4,HTTPS,1020,READ,us-east-1,user4,/app/service/4,OK
2024-01-01T01:04:00,203.0.113.15,10.0.0.5,SSH,1060,WRITE,us-west-2,user5,/app/service/5,OK
2024-01-01T01:05:00,203.0.113.16,10.0.0.6,DNS,1100,LIST,eu-west-1,user6,/app/service/1,OK
2024-01-01T01:06:00,203.0.113.17,10.0.0.7,HTTPS,1140,READ,us-east-1,user7,/app/service/2,OK
2024-01-01T01:07:00,203.0.113.18,10.0.0.8,SSH,1180,WRITE,us-west-2,user8,/app/service/3,OK
2024-01-01T01:08:00,203.0.113.19,10.0.0.9,DNS,1220,LIST,eu-west-1,user9,/app/service/4,OK
2024-01-01T01:09:00,203.0.113.20,10.0.0.10,HTTPS,1260,READ,us-east-1,user10,/app/service/5,OK
